rev-sym,iata-req,onu,Nombre apropiado de envío/Descripción,Clase o Div. (Peligros sec.),Etiqueta(s) de peligro,Grp. De emb.,EQ,APCCL-embalaje,APCCL-neta-máx-bulto,APC-embalaje,APC-neta-máx-bulto,AC-embalaje,AC-neta-máx-bulto,Disp-espec,CRE,ingles
,,,"Aceite cáustico de arsénico, ver Tricloruro de arsénico (UN 1560)",,,,,,,,,,,,,
,,,"Aceite combustible, ver Gasóleo (UN 1202)",,,,,,,,,,,,,
,,,"Aceite de alquitrán de hulla, ver Destilados de alquitrán de hulla, inflamables (UN 1136)",,,,,,,,,,,,,
,,,"Aceite de anilina, ver Anilina (UN 1547)",,,,,,,,,,,,,
,,,"Aceite de creosota, ver Alquitranes, líquidos (UN 1999)",,,,,,,,,,,,,
,,,"Aceite de mirbana, ver Nitrobenceno (UN 1662)",,,,,,,,,,,,,
,,,"Aceite de tung (derivados), ver Líquido inflamable, tóxico, n.e.p. ★ (UN 1992) o Líquido inflamable, n.e.p. ★ (UN 1993) o Líquido inflamable, corrosivo, n.e.p. ★ (UN 2924)",,,,,,,,,,,,,
,,,"Aceite mineral, ver Productos del petróleo, n.e.p. (UN 1268)",,,,,,,,,,,,,
,,,"Aceite pesado, ver Gasóleo (UN 1202)",,,,,,,,,,,,,
,,,"Aceites de cetona, ver Aceites de acetona (UN 1091)",,,,,,,,,,,,,
,,,"Acelereno, ver p-Nitroso-dimetilanilina (UN 1369)",,,,,,,,,,,,,
,,,"Acero, virutas de, ver Virutas de metales ferrosos (UN 2793)",,,,,,,,,,,,,
,,,"Acetato de butilo, iso, ver Acetato de isobutilo (UN 1213)",,,,,,,,,,,,,
,,,"Acetato de cellosolve, ver Acetato del éter monoetílico de etilenglicol (UN 1172)",,,,,,,,,,,,,
,,,"Acetato de 2-etoxietilo, ver Acetato del éter monoetílico de etilenglicol (UN 1172)",,,,,,,,,,,,,
,,,"Acetato de metilglicol, ver Acetato del éter monometílico de etilenglicol (UN 1189)",,,,,,,,,,,,,
,,,"Acetato de 2-metoxietilo, ver Acetato del éter monometílico de etilenglicol (UN 1189)",,,,,,,,,,,,,
,,,"Acetato de plomo(II), ver Acetato de plomo (UN 1616)",,,,,,,,,,,,,
,,,"Acetato de vinilo, no estabilizado",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Acetileno (liquido),,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Acetiluro de cobre,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Acetiluro de litio y etilendiamina, complejo de, ver Sólido que reacciona con el agua, n.e.p. ★ (UN 2813)",,,,,,,,,,,,,
,,,Acetiluro de mercurio,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Acetiluro de plata (seco),,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Acetoína, ver Acetilmetilcarbinol (UN 2621)",,,,,,,,,,,,,
,,,"Ácido acrílico, no estabilizado",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido arsenioso, ver Trióxido de arsénico (UN 1561)",,,,,,,,,,,,,
,,,Ácido azaurólico (sal de) (seco),,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Ácido azidoditiocarbónico,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido bromhídrico, anhidro, ver Bromuro de hidrógeno, anhidro (UN 1048)",,,,,,,,,,,,,
,,,"Ácido butilfosfórico, ver Fosfato ácido de butilo (UN 1718)",,,,,,,,,,,,,
,,,"Ácido carbólico, ver Fenol sólido (UN 1671) o Fenol fundido (UN 2312)",,,,,,,,,,,,,
,,,"Ácido carbólico en solución, ver Fenol en solución (UN 2821)",,,,,,,,,,,,,
,,,"Ácido cianhídrico, anhidro, ver Cianuro de hidrógeno, estabilizado (UN 1051, UN 1614)",,,,,,,,,,,,,
,,,Ácido cianhidrico en solución acuosa con mas del 20% de cianauro de hidrógeno,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido clorhídrico, anhidro, ver Cloruro de hidrógeno, anhidro (UN 1050)",,,,,,,,,,,,,
,,,"Ácido clorhídrico, líquido refrigerado, ver Cloruro de hidrógeno, líquido refrigerado (UN 2186)",,,,,,,,,,,,,
,,,Ácido clórico en solución acuosa con más del 10% de ácido clorhídrico,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido 3-Cloroperoxibenzoico, > 57% y < 86%, cuando está ≥ 14% de un sólido inerte",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido crómico, sólido, ver Trióxido de cromio anhidro (UN 1463)",,,,,,,,,,,,,
,,,"Ácido de arena, ver Ácido fluosilícico (UN 1778)",,,,,,,,,,,,,
,,,"Ácido de Nordhausen, ver Ácido sulfúrico, fumante † (UN 1831)",,,,,,,,,,,,,
,,,"Ácido dicloroisocianúrico, como sal de sodio dihidratada",,,,,No restringido,No restringido,No restringido,No restringido,No restringido,No restringido,,,
,,,"Ácido di-(2-etilhexil) fosfórico, ver Fosfato ácido de diisooctilo (UN 1902)",,,,,,,,,,,,,
,,,"Ácido dimetilarsénico, ver Ácido cacodílico (UN 1572)",,,,,,,,,,,,,
,,,"3,5-Ácido dinitrosalicilico (sal de plomo) (seco)",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido éster 2-diazo-1-naftol sulfónico en mezcla, Tipo D, ver Sólido de reacción espontánea de tipo D ★ (UN 3226)",,,,,,,,,,,,,
,,,"Ácido etilsulfúrico, ver Ácido alquilsulfúrico (UN 2571)",,,,,,,,,,,,,
